url,slug,name,price_dkk
https://www.lidl.dk/p/alpenfest-bockwurst/p10029289,alpenfest-bockwurst,,
https://www.lidl.dk/p/crelando-lcd-skrivetavle/p10029315,crelando-lcd-skrivetavle,,
https://www.lidl.dk/p/karen-volf-minikager/p10029258,karen-volf-minikager,,
https://www.lidl.dk/p/deluxe-luksussalami/p10029484,deluxe-luksussalami,DELUXE Luksussalami,30
https://www.lidl.dk/p/alesto-cashewnoedder/p10029251,alesto-cashewnoedder,,
https://www.lidl.dk/p/bourgogne-chardonnay/p27037,bourgogne-chardonnay,Bourgogne Chardonnay,"30,33"
https://www.lidl.dk/p/sekt/p19852,sekt,Sekt,"30,33"
https://www.lidl.dk/p/disney-2026-marvel-rejsekuffert/p10029351,disney-2026-marvel-rejsekuffert,,
https://www.lidl.dk/p/freeway-sodavand/p10029467,freeway-sodavand,FREEWAY Sodavand,"6,-"
https://www.lidl.dk/p/crivit-loeberygsaek-eller-vest/p10029584,crivit-loeberygsaek-eller-vest,CRIVIT® Løberygsæk eller- vest,149
https://www.lidl.dk/p/thebirkes-med-remonce/p2652,thebirkes-med-remonce,Thebirkes med remonce,"30,33"
https://www.lidl.dk/p/crivit-loebesko-til-dame-eller-herre/p10029594,crivit-loebesko-til-dame-eller-herre,CRIVIT® Løbesko til dame eller herre,149
https://www.lidl.dk/p/ballarom-instant-kaffe/p10029259,ballarom-instant-kaffe,,
https://www.lidl.dk/p/silvercrest-elektrisk-kaffekvaern/p10029352,silvercrest-elektrisk-kaffekvaern,,
https://www.lidl.dk/p/vitasia-paneret-kylling-med-chilidip/p10029517,vitasia-paneret-kylling-med-chilidip,VITASIA Paneret kylling med chilidip,40
https://www.lidl.dk/p/lupilu-baby-vaadservietter-mini/p130850,lupilu-baby-vaadservietter-mini,Lupilu Baby vådservietter mini,"30,33"
https://www.lidl.dk/p/crivit-loebesokker/p10029593,crivit-loebesokker,CRIVIT® Løbesokker,40
https://www.lidl.dk/p/chardonnay-navarro-do/p38807,chardonnay-navarro-do,Chardonnay Navarro DO,"30,33"
https://www.lidl.dk/p/deluxe-macarons/p10029275,deluxe-macarons,,
https://www.lidl.dk/p/chile-sauvignon-blanc-reserva-privada/p28635,chile-sauvignon-blanc-reserva-privada,Chile Sauvignon Blanc Reserva Privada,"30,33"
https://www.lidl.dk/p/esmara-finstrikkede-undertroejer-til-maend/p10029632,esmara-finstrikkede-undertroejer-til-maend,ESMARA® Finstrikkede undertrøjer til mænd,59
https://www.lidl.dk/p/oeko-softkernerugbroed-m-havreflager/p6502880,oeko-softkernerugbroed-m-havreflager,Øko softkernerugbrød m/havreflager,"30,33"
https://www.lidl.dk/p/kanelsnegl/p3734,kanelsnegl,Kanelsnegl,"30,33"
https://www.lidl.dk/p/fransk-baguette/p27986,fransk-baguette,Fransk baguette,"30,33"
https://www.lidl.dk/p/madvaerket-15-skummetmaelk/p10025459,madvaerket-15-skummetmaelk,MADVÆRKET 15 Skummetmælk,10.95
https://www.lidl.dk/p/matilde-kakaoskummetmaelk/p10029565,matilde-kakaoskummetmaelk,MATILDE Kakaoskummetmælk,"8,-"
https://www.lidl.dk/p/w5-opvaskemaatte/p10029365,w5-opvaskemaatte,,
https://www.lidl.dk/p/vilstrupgaard-ovnklar-flaeskesteg/p10029395,vilstrupgaard-ovnklar-flaeskesteg,,
https://www.lidl.dk/p/queen-margot-cremelikoer/p10029413,queen-margot-cremelikoer,,
https://www.lidl.dk/p/formil-white-care/p6500835,formil-white-care,Formil white care,"30,33"
https://www.lidl.dk/p/3-stjernet-paalaeg/p10029431,3-stjernet-paalaeg,3-STJERNET Pålæg,5
https://www.lidl.dk/p/madvaerket-krydder-eller-fuldkornskrydderboller/p10029460,madvaerket-krydder-eller-fuldkornskrydderboller,MADVÆRKET Krydder- eller fuldkornskrydderboller,15
https://www.lidl.dk/p/dulano-skinke-m-svaer-el-peber-sk3/p10025399,dulano-skinke-m-svaer-el-peber-sk3,Dulano Skinke m/svær el. peber SK3,14.95
https://www.lidl.dk/p/alpenfest-leberkase/p10029287,alpenfest-leberkase,,
https://www.lidl.dk/p/paaskeliljer-perlehyacint-eller-krokos/p10029643,paaskeliljer-perlehyacint-eller-krokos,"Påskeliljer, perlehyacint eller krokos",9
https://www.lidl.dk/p/chile-pinot-noir-reserva-oa-2019/p135556,chile-pinot-noir-reserva-oa-2019,Chile Pinot Noir Reserva (OA) 2019,"30,33"
https://www.lidl.dk/p/dulano-delikatesse-skinke/p10025397,dulano-delikatesse-skinke,Dulano Delikatesse skinke,19.95
https://www.lidl.dk/p/combino-pasta-i-bronzeform-hwg-sk3/p10025483,combino-pasta-i-bronzeform-hwg-sk3,Combino Pasta i bronzeform HWG SK3,11.95
https://www.lidl.dk/p/vilstrupgaard-hakket-gris-8-12-1000g/p10025545,vilstrupgaard-hakket-gris-8-12-1000g,Vilstrupgård Hakket gris 8-12% (1000g),69.95
https://www.lidl.dk/p/primitivo-del-salento-igp-bib/p60321,primitivo-del-salento-igp-bib,Primitivo del Salento IGP BiB,"30,33"
https://www.lidl.dk/p/dr-oetker-pizza/p10029416,dr-oetker-pizza,,
https://www.lidl.dk/p/palmolive-haandsaebe/p10029474,palmolive-haandsaebe,PALMOLIVE Håndsæbe,10
https://www.lidl.dk/p/deluxe-chorizo/p10029271,deluxe-chorizo,,
https://www.lidl.dk/p/spaghetti-bolognese/p10013313,spaghetti-bolognese,Spaghetti Bolognese,"30,33"
https://www.lidl.dk/p/lambrusco/p10000133,lambrusco,Lambrusco,"30,33"
https://www.lidl.dk/p/hvem-ved-hvad-bog/p10029325,hvem-ved-hvad-bog,,
https://www.lidl.dk/p/silvercrest-koeleskabsbeholder-eller-kasser/p10029372,silvercrest-koeleskabsbeholder-eller-kasser,,
https://www.lidl.dk/p/kinder-surprise-maxi-aeg/p10029548,kinder-surprise-maxi-aeg,KINDER Surprise Maxi æg,39
https://www.lidl.dk/p/santa-maria-tacoskaller/p10029400,santa-maria-tacoskaller,,
https://www.lidl.dk/p/freshona-frosne-hindbaer/p10025357,freshona-frosne-hindbaer,Freshona Frosne hindbær,33.95
https://www.lidl.dk/p/studenterbroed/p10009786,studenterbroed,Studenterbrød,"30,33"
https://www.lidl.dk/p/parkside-strips/p10029618,parkside-strips,PARKSIDE® Strips,15
https://www.lidl.dk/p/foraarsblomster/p10029646,foraarsblomster,Forårsblomster,22
https://www.lidl.dk/p/australsk-chardonnay-colombard-bib/p140692,australsk-chardonnay-colombard-bib,Australsk Chardonnay/Colombard - BiB,"30,33"
https://www.lidl.dk/p/madvaerket-15-soedmaelk/p10025457,madvaerket-15-soedmaelk,MADVÆRKET 15 Sødmælk,14.5
https://www.lidl.dk/p/valnoeddebroed/p118290,valnoeddebroed,Valnøddebrød,"30,33"
https://www.lidl.dk/p/naturli-oekologisk-soja-eller-havredrik/p10029246,naturli-oekologisk-soja-eller-havredrik,,
https://www.lidl.dk/p/franklin-s-fuel-premium-zinfandel/p10015686,franklin-s-fuel-premium-zinfandel,Franklin´s Fuel Premium Zinfandel,"30,33"
https://www.lidl.dk/p/lupilu-bleer-tubes-newborn-str-1/p138081,lupilu-bleer-tubes-newborn-str-1,Lupilu Bleer tubes newborn str. 1,"30,33"
https://www.lidl.dk/p/chateauneuf-du-pape-aop-premiu-2023/p10015704,chateauneuf-du-pape-aop-premiu-2023,Chateauneuf du Pape AOP Premiu 2023,"30,33"
https://www.lidl.dk/p/dulano-kalkunpaalaeg-sk16/p10025379,dulano-kalkunpaalaeg-sk16,Dulano Kalkunpålæg SK16,14.95
https://www.lidl.dk/p/maitre-jean-pierre-maelke-og-chokoladebroed/p10029539,maitre-jean-pierre-maelke-og-chokoladebroed,MAITRE JEAN-PIERRE Mælke- og chokoladebrød,20
https://www.lidl.dk/p/milbona-kakaomaelk-6x0-2l/p10025465,milbona-kakaomaelk-6x0-2l,"Milbona Kakaomælk 6x0,2l",19.95
https://www.lidl.dk/p/madvaerket-fin-eller-grovvalsede-havregryn/p10029461,madvaerket-fin-eller-grovvalsede-havregryn,MADVÆRKET Fin- eller grovvalsede havregryn,8
https://www.lidl.dk/p/milbona-friskosttilberedning-sk2/p10025433,milbona-friskosttilberedning-sk2,Milbona Friskosttilberedning SK2,10.95
